"Name","Symbol","Exchange","Industry","Rating","MarketCap","EV","Revenue","GrossProfit","EBITDA","EBIT","NetIncome","Cash","PPnE","Assets","Debt","Equity","Receivables","Inventory","CurrentAssets","ShortTermDebt","LTD_Cap_Leases","Leases_LongTerm","LongTermDebt","Liabilities","Liabilities_N_Equity","Debt_Current","Debt_NonCurrent","Debt_Net","EBITDA_sd","Vol","EL","BL","LM","AP","AR","RoD","nEL","nBL","nLM","nAP","nAR","nRoD","RD","nRD"
"CACI International Inc (NYSE:CACI)","NYSE:CACI","New York Stock Exchange (NYSE)","Industrials","BB+",3829.19,5275.05,4538.66,1525.36,433.8,393.295,238.25,62.86,173.76,4022.07,956.3235,1841.75,741.41,21.8,899.3,0,80.82,67.3,1147.96,3101.21,4022.07,80.804,1215.25,1233.18,135.209993056069,0.0256319832145798,0.259026592163155,0.314215095095342,2.97922298875212,1.26581564957586,0.82441721102572,0.36611656100274,0.246475699580514,0.303329458440641,2.8343902064186,1.28626844155895,0.811871286027959,0.387116210529571,0.36611656100274,0.387116210529571
"Caleres, Inc. (NYSE:CAL)","NYSE:CAL","New York Stock Exchange (NYSE)","Consumer","B+",1033.82,1548.87,2629.31,1083.6,174.18,150.755,18.69,64.94,358.08,1578.7,370.99075,519.27,143.97,568.26,840.11,126,52.15,160.08,178.07,1319.07,1578.7,178.143,338.16,451.36,56.1551976420903,0.0362555912646576,0.318320334983995,0.296016231772215,3.59410363900504,1.0063962042343,1.0292872890904,0.549727707687113,0.272588545075676,0.259745111520139,3.17178132992314,1.05581907528998,0.983552941996151,0.859898476636173,0.549727707687113,0.859898476636173
"California Resources Corporation (NYSE:CRC)","NYSE:CRC","New York Stock Exchange (NYSE)","Energy","B+",2823.95,3245.95,2685.77777777778,1728.33333333333,1063.88888888889,743.611111111111,-202.222222222222,42.5,7528.6,8114,2598.85,2415.2,206.7,65.6,475.9,0,34.6,11,3433.7,6906.4,8114,34.6,3444.7,3436.8,820.493973842045,0.252774680399281,0.196675257437513,0.491945291198039,4.70749159731006,0.947394220427243,1.06368889301297,Inf,0.146383668758581,0.483748348791071,4.60378793032641,0.989357313808064,1.01339730433404,Inf,Inf,Inf
"Callaway Golf Company (NYSE:ELY)","NYSE:ELY","New York Stock Exchange (NYSE)","Consumer","B+",1913.54,2694.53,1374.94,557.92,117.9,96.775,55.354,127.69,408.93,1709.18,368.5365,843.89,109.99,302.39,590.32,37.18,18.848,229.52,248.407,1287.235,1709.18,56.022,477.924,406.26,126.604537394553,0.0469857590728452,0.142448588904981,0.20096199718799,2.46152660689785,1.75840269140511,0.684360961337412,1.38332479943402,0.0895695716634639,0.123776557475744,1.59225937513421,1.96748813367255,0.631477868618045,-0.177754140370952,1.38332479943402,-0.177754140370952
"Callon Petroleum Company (NYSE:CPE)","NYSE:CPE","New York Stock Exchange (NYSE)","Energy","B-",1400.39,2607.39,611.27,447.51,324.48,235.42,-192.765,74.6818,2597.27,2849.94,885.69725,1311.63,80.7,0,200.74,0,7.39,8.85,1189.6,2194.125,2849.94,7.389,1198.44,1131.13,345.445688929533,0.132487157245189,0.384869195502386,0.362517564527112,4.48162112270514,1.08869392901012,1.05717718435711,0.400033734953598,0.353714399854835,0.326622882391901,4.04194542821536,1.13485885059101,1.02605140442083,0.302961156545705,0.400033734953598,0.302961156545705
"Campbell Soup Company (NYSE:CPB)","NYSE:CPB","New York Stock Exchange (NYSE)","Consumer Staples","BBB-",14529.33,19728.93,7979.8,2789,1623.8,1468.55,728.2,279.3,2406.1,9838.9,3854.25,1647.4,544.4,904.6,2033.6,871.7,388.6,41,3930.8,9015.2,9838.9,1260.3,3971.8,4952.8,170.466549341636,0.00864043561113735,0.26366240487731,0.516777954419728,3.27429098089348,2.13682458915607,0.498724742797304,0.358243889247144,0.249193108163534,0.500057334105596,3.10384603924229,2.21186829945454,0.484255446083527,0.387472411538016,0.358243889247144,0.387472411538016
"Cano Health, Inc. (NYSE:CANO)","NYSE:CANO","New York Stock Exchange (NYSE)","Health Care","B",1721.4,2649.4,1080.43333333333,162.733333333333,7.16666666666667,-7.405,-31.5866666666667,57.4,70.9375,805.35,309.48125,248.125,69.325,0.73775,135.775,0,8.6575,32.087,391.025,681.2875,805.35,8.65,423.125,374.375,56.6335883847504,0.0213760052784594,0.30095749551073,0.527858946193787,-0.780721781048861,2.90855634821547,0.549679719624683,0.0591730085789293,0.261357275578786,0.496088944491135,-0.667497323567577,3.09158040520631,0.510079499692739,0.0683841104465929,0.0591730085789293,0.0683841104465929
"Cardinal Health, Inc. (NYSE:CAH)","NYSE:CAH","New York Stock Exchange (NYSE)","Health Care","BBB",19415.71,23000.41,130498.7,6281.5,2710.4,2360.8,313,3144.6,2013.5,34662.1,3959.4,5449.7,7393.7,10855.2,23256,0,618.5,78.5,5630.4,31937.25,34662.1,618.5,5708.9,3182.8,309.726474310623,0.0134661283999121,0.289113338304353,0.177864019196739,2.30241506885516,0.706974395028116,1.59081768705348,0.482815431987178,0.150539461476598,0.0929292240914855,1.16123197864359,0.784679959742173,1.45224381022573,1.52018530198138,0.482815431987178,1.52018530198138
"Carlisle Companies Incorporated (NYSE:CSL)","NYSE:CSL","New York Stock Exchange (NYSE)","Industrials","BBB",7160.32,8006.97,3864.59,1091.28,688.14,608.2,362.58,514.84,666.21,4778.39,892.505,2372.92,589.39,415.06,1684,0,82.08,17.93,1261.61,3591.93,4778.39,82.08,1279.54,846.78,166.04851499888,0.0207379963955004,0.16153448835534,0.266144504520408,1.89974481071479,1.65133744961677,0.614011956918643,0.618394096653242,0.0933504042083314,0.167114838285438,1.10165731579446,1.87328155024318,0.545827872771635,-10.0303116746805,0.618394096653242,-10.0303116746805
"Carpenter Technology Corporation (NYSE:CRS)","NYSE:CRS","New York Stock Exchange (NYSE)","Materials","BB+",2047.75,2625.62,2039.32,316.82,243.59,187.58,51.25,137.56,1328.67,2953.64,421.385,1339.39,324.75,660.22,1169.91,18.97,17.65,8.58,562.5,2283.945,2953.64,36.62,571.08,470.14,125.081186523882,0.0476387240057138,0.243130122728749,0.205193935763958,-1.94178717928043,0.895970110278103,1.1761089087741,0.438106649888344,0.19032304111113,0.165335056985134,-1.49905832439175,0.943848008117423,1.12330182715648,0.613172676285464,0.438106649888344,0.613172676285464
"Carriage Services, Inc. (NYSE:CSV)","NYSE:CSV","New York Stock Exchange (NYSE)","Consumer","B+",424.49,799.89,268.17,95.77,71.09,63.08,21.152,1.1669,233.64,932.36,282.2155,181.85,19.54,6.239,34.75,0,9.15,10.581,356.94,841.44,932.36,9.15,367.532,375.51,23.3054809957753,0.0291358574251151,0.468373498521881,0.396962041619439,5.3703851970951,0.850844854318871,1.18440732531147,0.188997038358126,0.466820885069289,0.396161689357235,5.35237890820153,0.85196034829162,1.182848248048,0.18965462429283,0.188997038358126,0.18965462429283
"Carrier Global Corporation (NYSE:CARR)","NYSE:CARR","New York Stock Exchange (NYSE)","Industrials","BBB",29229.8,37687.8,19002.6666666667,5552,2803,2635.83333333333,2247,1901.4,2179.2,23478.6,2973.45,11432,3050.4,1564.6,7599.8,0,247.6,371.4,3979.4,17762.6,23478.6,247.6,4350.8,2697,150.62204353945,0.00399657299018383,0.187992289282349,0.181496125113486,2.72092740330333,1.53045671478908,0.672689824181767,0.996035926022748,0.127357312815656,0.118085426423108,1.87296623945627,1.69827663785916,0.612054847715073,4.76108794518286,0.996035926022748,4.76108794518286
"Cars.com Inc. (NYSE:CARS)","NYSE:CARS","New York Stock Exchange (NYSE)","Communication","B+",1239.75,1746.2,615.428571428571,461.528571428571,178.285714285714,136.9,-98.6457142857143,21.948375,39.3125,2102.6375,283.91634375,1526.4625,96.55,0,136.525,0,14.3375,11.9375,359.6125,1339.4,2102.6375,14.31875,371.545,363.926625,37.1529464318973,0.021276455407111,0.34053741391284,0.239634094912185,2.79055490159456,0.947359237510118,1.16601817800548,Inf,0.320957003808313,0.230906872586647,2.63019159879384,0.974099164420407,1.1464383833924,-302.918157860297,Inf,-302.918157860297
"Carter's, Inc. (NYSE:CRI)","NYSE:CRI","New York Stock Exchange (NYSE)","Consumer","BB+",4390.07,4926.28,3124.98,1348.14,457.49,418.245,234.6,433.94,486.34,2276.34,523.5635,863.12,197.19,513.35,1218.83,0,49.29,166.08,630.36,1844.77,2276.34,49.292,796.422,402.81,64.3697211427857,0.0130665981517059,0.178362157133775,0.343926523141127,1.78984787695649,2.29192137669441,0.476172434468811,0.74106285470333,0.0823419491204803,0.192127390541525,0.838788884893057,2.77679122003799,0.381990915871859,0.988991977779645,0.74106285470333,0.988991977779645
"Carvana Co. (NYSE:CVNA)","NYSE:CVNA","New York Stock Exchange (NYSE)","Consumer","CCC+",6522.85,8516.15,4140.88571428571,547.468,-182.228571428571,-203.507142857143,-127.114285714286,216.57875,523.64,1781.4625,929.18775,240.935,49.8875,733.4,1219.525,416.575,43.11125,128.1875,723.2375,1660.99375,1781.4625,459.68625,851.41875,1094.5335,108.134680133707,0.012697601631454,0.261103900816696,0.57579208533653,-6.28853074898732,3.86740876234705,0.398837417301669,-0.298578905018046,0.208555446653243,0.471430184196338,-4.77553163810138,4.47696823957826,0.346284918223482,1.90997747872478,-0.298578905018046,1.90997747872478
"Catalent, Inc. (NYSE:CTLT)","NYSE:CTLT","New York Stock Exchange (NYSE)","Health Care","BB",9098.425,11443.45,2537.04,823.31,550.67,451.795,179.96,359.22,1270.14,4646.65,1858.5075,1202.58,574.02,234.66,1250.59,0,53.01,56.03,2488.71,4045.36,4646.65,53.01,2544.74,2238.53,257.316968607461,0.0224859608428806,0.281696028446101,0.629026964939914,5.19575395880773,2.14467244736673,0.484046836879008,0.20798813885713,0.24862870577354,0.596871835136165,4.63597324303277,2.325858519075,0.450979514206446,0.250032368230562,0.20798813885713,0.250032368230562
"Caterpillar Inc. (NYSE:CAT)","NYSE:CAT","New York Stock Exchange (NYSE)","Industrials","A",73171.94,104765.84,50657.4,12475.8,8977,7579.1,3804.2,6467.9,11056.5,80663.4,26734.9,15775.3,7822.4,11694.4,38177.4,90.4,539.8,254.9,8697.7,72775.75,80663.4,11922.1,25880.4,31334.6,1881.31839115257,0.017957364644359,0.373605615701667,0.469223378274637,4.41869084923085,1.3040564185781,0.796654794278515,0.237496228992824,0.312094543239945,0.422327287770266,3.67177526033441,1.42569356271437,0.735143721816792,0.288592568221087,0.237496228992824,0.288592568221087
"CBRE Group, Inc. (NYSE:CBRE)","NYSE:CBRE","New York Stock Exchange (NYSE)","Real Estate","BBB+",14937.1,17985.36,16809.43,4341.43,1443.64,1253.49,823.23,1061.36,962.05,12565.84,2397.033,4405.79,3192.07,13.59,5961.12,1104.88,101.8939,350.33,1992.73,10362.95,12565.84,1206.766,2343.066,2488.47,451.450027257847,0.0251009725275361,0.217862983051609,0.306859082559639,2.61879267884802,1.46670920954932,0.703618581791677,0.412072451799867,0.158592752197889,0.242965510628177,1.88390605946257,1.60454401869211,0.644348350937957,0.618547439000486,0.412072451799867,0.618547439000486
"Cedar Fair, L.P. (NYSE:FUN)","NYSE:FUN","New York Stock Exchange (NYSE)","Consumer","B+",2921.57,4832.48,1162.31,527.5,352.11,281.025,45.68,146.5,1621.44,2168.49,1380.745,-75.227,38.06,30.41,247.05,0,3.725,3.44,1882.65,2206.1,2168.49,3.727,1886.103,1743.33,235.98209183467,0.048832502531758,0.39302089715194,0.860454195964807,2.85462073320827,2.25576302307878,0.453524701472135,0.214247905337256,0.363010961674129,0.852181049110572,2.725697588194,2.41506918165546,0.423512897778284,0.230727949941583,0.214247905337256,0.230727949941583
"Centene Corporation (NYSE:CNC)","NYSE:CNC","New York Stock Exchange (NYSE)","Health Care","BBB-",21431.38,24529.13,52120.22,9083.88,2394.7,2133.84,838.3883,6080.8,1916.49,28050.69,4268.89125,9604.08,4267.34,0,11104.08,0,108.337,640.8,6758.55,23248.65,28050.69,108.337,7399.348,2060.19,2026.79235410702,0.0826279755583267,0.245712898166998,0.228259622310927,2.52315391580778,1.05221282690603,1.04188445051828,0.466136440624393,0.023152027371325,0.00027770952132418,0.165902245185949,1.42915537057559,0.791614148703717,0.529109072387863,0.466136440624393,0.529109072387863
"CenterPoint Energy, Inc. (NYSE:CNP)","NYSE:CNP","New York Stock Exchange (NYSE)","Utilities","BBB+",11938.99,22688.49,8391.4,2663,2155.7,1624.3,512.7,1562.7,15119.1,26748.4,7646.325,5896.7,1204.7,401.6,3904.4,27.9,899.1,6.7,9782.3,23800.05,26748.4,927,9789,9153.3,218.669232708521,0.0096378927248363,0.480270128284064,0.398374800564626,4.91448550284868,0.846630207449142,1.20084351937049,0.209523096367709,0.412308565521735,0.357812575056957,4.17613094629796,0.90649291663115,1.13288195660816,0.258921966830762,0.209523096367709,0.258921966830762
"Century Communities, Inc. (NYSE:CCS)","NYSE:CCS","New York Stock Exchange (NYSE)","Consumer","BB-",960.975,1701.6875,1683.67,358.65,179.231,175.5495,123.399,109.468,24.526,1583.04,487.9665,724.6,14.7637,1210.61,1513.92,108.02,1.199,4.7633,573.12,1220.75,1583.04,109.227,577.879,577.65,221.428216231205,0.130122725959499,0.487328618715407,0.399576570780501,4.76716106526441,0.910647143339747,1.11820141088744,1.70256096364995,0.427127616772041,0.315637077399506,3.79450814829014,0.964025323764075,1.05797126619267,0.224433339906138,1.70256096364995,0.224433339906138
"CF Industries Holdings, Inc. (NYSE:CF)","NYSE:CF","New York Stock Exchange (NYSE)","Materials","BBB-",10749.72,15561.91,4946.63,1652.42,2136.44,1791.61,801.62,1154.73,7318.2,12260.72,2874.7875,5686.31,253.29,304.51,1942.32,0,52.1,52.9,4112.96,9417.565,12260.72,52.1,4165.86,3063.23,1051.49184621977,0.0675683027481699,0.276742389209021,0.339394287416319,2.49255379219395,1.27709213405758,0.814766087102806,0.642030146274581,0.199210431089042,0.258389684249939,1.93257439180444,1.4312454754872,0.737234128982826,0.20353891905125,0.642030146274581,0.20353891905125
"Charles River Laboratories International, Inc. (NYSE:CRL)","NYSE:CRL","New York Stock Exchange (NYSE)","Health Care","BB+",6573.57,7873.57,2047.44,765.94,478.86,402.495,205.46,181.9,928.95,3386.37,1015.8855,1239.61,399.26,124.48,805.41,0,46.93,74.0405,1294.15,2766.565,3386.37,46.933,1368.209,1233.26,223.990238874624,0.0284483707993482,0.196065120981406,0.418092783593403,2.86661558756101,2.22183006714169,0.467682907447488,0.352400038779935,0.166261978272512,0.378815166976546,2.44604380504924,2.36704976484869,0.437873436249082,0.418433687932099,0.352400038779935,0.418433687932099
"Chevron Corporation (NYSE:CVX)","NYSE:CVX","New York Stock Exchange (NYSE)","Energy","AA-",220168.78,244893.28,152396.1,65719.9,28715.2,19870.5,10774.6,10219.5,167261.5,250180.1,22366.8,146789.3,15857.9,5990,36297.7,2862.5,1100,956.7,28309.7,176785.45,250180.1,3962.5,29266.4,23009.4,11390.7190856806,0.0465129916414229,0.136630343849649,0.132560174712953,1.54717187955253,0.981556232732422,1.03803060849458,1.15339770320144,0.093662608430583,0.0940761909866984,1.17101388971929,1.02344908983588,0.995062873075517,1.34724048816371,1.15339770320144,1.34724048816371
"Church & Dwight Co., Inc. (NYSE:CHD)","NYSE:CHD","New York Stock Exchange (NYSE)","Consumer Staples","BBB+",14555.95,16028.37,3927.4,1757.98,899,834.13,567.74,295.57,653.06,5548.04,1188.98,2405.73,337.13,343.25,1011.11,246.81,165.32,45.89,1225.81,4345.175,5548.04,412.13,1271.7,1388.26,173.111280844304,0.0108003047623872,0.102739850150021,0.29088845534352,1.79829707034262,2.86269963910277,0.356936223750557,0.603446959362517,0.0806137022543043,0.243440463137395,1.44197683810773,3.03943592864089,0.33481007585484,0.91104761991546,0.603446959362517,0.91104761991546
"Ciena Corporation (NYSE:CIEN)","NYSE:CIEN","New York Stock Exchange (NYSE)","IT","BB+",4779.28,4926.66,2877.13,1268.05,357.79,294.045,200.66,954.12,239.65,3197.28,578.9795,1291.39,648.92,276,2071.29,0,109.756,47.867,937.82,2551.58,3197.28,109.748,985.68,125.06,188.769791898315,0.0383159771322388,0.276599501976762,0.411773149779656,4.96157104315338,1.55149793073261,0.684027213032258,0.384947263900419,0.0659165067009894,0.156806570658185,1.66932063877001,2.2363419381486,0.47563982754217,-0.172771754252666,0.384947263900419,-0.172771754252666
"Cigna Corporation (NYSE:CI)","NYSE:CI","New York Stock Exchange (NYSE)","Health Care","A-",49268.84,63211.84,79006.8,16379.8,6259.4,5800.65,3377.5,4838.4,1665.3,96148.7,12490.475,25511.8,1879.1,1259.7,18933.7,973.8,638.8,153.7,16189.5,83392.8,96148.7,1612.6,16343.2,14050.3,3183.50146850916,0.0503624236932379,0.236836657676585,0.150704311818641,2.40096490700832,0.64645219765995,1.60409613734988,0.562919084005196,0.167625862865254,0.113868568330095,1.76544926363769,0.68232598508227,1.5190845940727,1.07376293052868,0.562919084005196,1.07376293052868
"Cinemark Holdings, Inc. (NYSE:CNK)","NYSE:CNK","New York Stock Exchange (NYSE)","Communication","B",3520.07,5672.06,2512.97,1207.297,463.22,353.46,49.57,593.08,1967.9,4613.54,1751.24625,1110.04,69.8,15.93,732.61,0,93.47,529.65,1910.43,4058.525,4613.54,93.47,2440.055,1937.93,361.322287039024,0.063702127100035,0.460958098310125,0.53879888260993,4.4914252162182,1.25336928849097,0.832919736111865,0.224991766807881,0.35247733885783,0.467142525409329,3.43086139819571,1.44553991795433,0.724871437176088,0.315368210839329,0.224991766807881,0.315368210839329
"CIRCOR International, Inc. (NYSE:CIR)","NYSE:CIR","New York Stock Exchange (NYSE)","Industrials","B-",842.57,1122.07,798.31,249.95,92.74,72.8,-20.99,79.6,139.14,1067.44,233.5255,430.69,166.82,176.7,489.02,0,6.665,3.85,327.376,852.085,1067.44,6.668,331.229,258.315,22.0017777059542,0.0196082042171649,0.318083477285701,0.256907389871554,3.41690342418695,1.21595605082803,0.998870840569878,1.18687394692113,0.242567419911077,0.180324156422126,2.53770005040316,1.33858593777666,0.923329872119344,1.26510415259329,1.18687394692113,1.26510415259329
"Civeo Corporation (NYSE:CVEO)","NYSE:CVEO","New York Stock Exchange (NYSE)","Industrials","B+",4506.31111111111,4831.85555555556,613.58,224.93,163.67,100.066,-50.866,71.92,849.91,1230.13,272.45,714.53,108.78,10.153,212.11,0,22.68,5.64,358.91,872.875,1230.13,22.679,364.561,315.31,126.895731913165,0.0262623189899092,0.433197535350165,0.334356761964239,3.2342079466291,2.65413632893863,1.17554204808604,0.426204826999332,0.415557155309349,0.303032763504684,2.93729691134793,2.92303310127296,1.15791568690306,0.720610115317569,0.426204826999332,0.720610115317569
"Civitas Resources, Inc. (NYSE:CIVI)","NYSE:CIVI","New York Stock Exchange (NYSE)","Energy","B+",1370.17,1737.2,440.04,338.07,261.75,133.685,-21.01,60.515,1570.41,1797.06,292.048,1039.23,68.95,7.489,187.13,0,102.8,6.69,300.08,1277.445,1797.06,102.797,306.777,349.048,258.665658288412,0.148898030329503,0.273480110130549,0.271657948847844,2.69129458458782,1.02408661887168,1.25771948155514,Inf,0.245863253807601,0.251559974058929,2.40881708036641,1.06890035056162,1.23011334768091,2.46118205824567,Inf,2.46118205824567
"Clean Harbors, Inc. (NYSE:CLH)","NYSE:CLH","New York Stock Exchange (NYSE)","Industrials","BB+",3603.24,5001.13,3233.38,954.77,490,350.51,81.65,345.94,1629.85,3993.35,1173.60615,1283.44,631.39,188.66,1243.11,0,27.4656,51.912,1600.71,3351.64,3993.35,27.4646,1652.65,1334.19,82.8160075777087,0.0165594590777902,0.334297976023754,0.41698636114637,3.42415409692304,1.2527367807965,0.802697396867147,0.297613572082677,0.266391375050927,0.3627506942519,2.72286798083054,1.37183441671677,0.734788515340602,0.374632858901312,0.297613572082677,0.374632858901312
"Clearwater Paper Corporation (NYSE:CLW)","NYSE:CLW","New York Stock Exchange (NYSE)","Materials","BB-",760.43,1465.6,1810.6,228.28,203.32,154.57,28.412,35.176,1042.64,1712.77,529.15125,505.49,147.59,265.41,476.77,29,18.87,39.14,630.26,1460.025,1712.77,47.87,669.395,682.08,32.6177456813516,0.0222555579157694,0.50904255840224,0.41654250811641,3.65167433207607,0.86277189690379,1.20828729508162,0.294273404545239,0.485987912204118,0.403720870405102,3.48101631216803,0.882828799832389,1.18523775786689,0.312630714674615,0.294273404545239,0.312630714674615
"Cleveland-Cliffs Inc. (NYSE:CLF)","NYSE:CLF","New York Stock Exchange (NYSE)","Materials","B+",3575.2,7350.46,5578.86,1154.18,1288.41,1124.575,-320.6,372.51,4748.65,7963.64,2350.71,1695.99,466.33,1216.28,2331.58,0,34.71,41.4,3182.34,7115.645,7963.64,34.71,3223.74,2885.94,1791.10837593188,0.243672964131752,0.506391813314759,0.643274186459921,4.67638221394746,1.24115399306032,0.980776559205048,0.335124340537535,0.426856213665506,0.617649374726667,3.98975225884236,1.44853237878939,0.901240959555796,0.393851021101658,0.335124340537535,0.393851021101658
"CMS Energy Corporation (NYSE:CMS)","NYSE:CMS","New York Stock Exchange (NYSE)","Utilities","BBB+",13081.81,23624.91,6753.2,2369.8,2010.1,1639.05,657.6,193.2,16491.6,22848.8,7767.525,4629.1,1029.5,745.7,2445,134.4,745.6,106.5,9434.6,20534.25,22848.8,880,9541.1,10227.9,251.203525276042,0.0106329939574814,0.452385255605193,0.456646848135945,5.15836220353422,1.01883859812465,0.992384250127224,0.195958408158993,0.443793389509137,0.45191826442623,5.06137658291695,1.02766223683306,0.983792384031168,0.199753920056137,0.195958408158993,0.199753920056137
"CNX Resources Corporation (NYSE:CNX)","NYSE:CNX","New York Stock Exchange (NYSE)","Energy","BB",4362.84,7378.02,2008.79,1047.24,521.66,245.67,-91.71,120.749,7554.15,9688.3,2086.17375,4515.28,235.43,55.591,809.5,101.49,24.474,43.97,2651.89,7430.65,9688.3,125.962,2695.843,2701.08,749.197925488022,0.101544577744167,0.409604546041193,0.293578471081166,-3.28037410809484,0.753394860809996,1.38867037856163,0.168812882345844,0.394351731191166,0.283564413984894,-3.31161727880443,0.76681221152755,1.37341496455303,0.184686451900497,0.168812882345844,0.184686451900497
"Coca-Cola FEMSA, S.A.B. de C.V. (NYSE:KOF)","NYSE:KOF","New York Stock Exchange (NYSE)","Consumer Staples","BBB+",15997.12,19082.34,9945.21,4565.05,1840.75,1608.64,560.49,1301.44,3324.69,13761.12,2749.65275,7019.67,661.31,624.11,3041.21,81.61,278.28,37.8639,3702.27,10251.28,13761.12,359.882,3740.129,2798.58,236.691305055528,0.0124036834610183,0.237125631202816,0.297965722155537,2.27132663147359,1.39018855789481,0.779220542100229,0.472500949749477,0.160009949939923,0.221404002924169,1.55397568054635,1.53916842424346,0.702104730162457,0.974339792482053,0.472500949749477,0.974339792482053
"Coeur Mining, Inc. (NYSE:CDE)","NYSE:CDE","New York Stock Exchange (NYSE)","Materials","B",1291.22,1545.38,714.43,230.13,121.45,-34.835,-249.34,143.52,1272.7,1812.61,232.67425,950.15,9.55,149.99,386.91,1.42,25.141,31.9226,300.52,1337.535,1812.61,26.552,332.435,212.75,206.057851908956,0.133337982832026,0.251474983889418,0.226512505530278,2.47908111074177,0.968814595773423,1.33013943380323,0.84075096312736,0.144458816433604,0.153688897106814,1.57339570451334,1.06692852371319,1.22508584044058,-0.16949777404842,0.84075096312736,-0.16949777404842
"Commercial Metals Company (NYSE:CMC)","NYSE:CMC","New York Stock Exchange (NYSE)","Materials","BB+",2474.34,3423.96,5858.16,814.06,503.41,436.9,236.14,418.63,1163.03,3597.8,806.614,1531.72,892.9,722.6,2241.03,46.813,49.349,29.89,1088.97,2831.935,3597.8,96.156,1118.87,796.4,326.700928305316,0.0954161054175039,0.37232060761353,0.340190519403142,2.98422280561252,0.944973460878486,1.07673033624788,0.418445205409736,0.245697127873744,0.251462469967884,1.9585792836858,1.07188016805384,0.950106856508096,0.676009900536593,0.418445205409736,0.676009900536593
"Community Health Systems, Inc. (NYSE:CYH)","NYSE:CYH","New York Stock Exchange (NYSE)","Health Care","B-",2214.5,16792.81,14905.1,5639.41,1686.78,1353.17,-432.18,484.98,7422.39,18982.43,10053.4725,1359.92,2708.34,424.62,4159.71,0,201.19,217.8,13147.3,18302.47,18982.43,201.191,13365.099,13081.31,546.569783691382,0.0325478453987976,0.830726365566437,0.729508964714671,8.86161605209481,0.899563225781771,1.13756180537725,0.12716357704457,0.79936935407243,0.722406606263258,8.50071031211223,0.926006396925728,1.10620479388324,0.131931347869816,0.12716357704457,0.131931347869816
"Compass Minerals International, Inc. (NYSE:CMP)","NYSE:CMP","New York Stock Exchange (NYSE)","Materials","BB-",2288.81,3129.19,1258.37,296.52,264.53,213.7,63.09,78.93,897.7,1970.84,746.2025,550.39,235.37,265.37,654.57,0,33.15,14.31,973.84,1695.645,1970.84,33.15,988.15,942.21,47.2228534598333,0.015091078988439,0.332203278079486,0.500598442246714,3.91932637939448,1.67514842990932,0.635491169072351,0.305697321166163,0.307385929923679,0.468854162206773,3.62452430148089,1.78246672562501,0.610722057274699,0.388215492785436,0.305697321166163,0.388215492785436
"Conagra Brands, Inc. (NYSE:CAG)","NYSE:CAG","New York Stock Exchange (NYSE)","Consumer Staples","BBB-",16007.77,23882.83,11147.48,2900.18,1810.42,1628.02,505.54,263.95,2539.96,16919.43,5319.65,5553.92,825.74,1553.85,3124.33,140.36,394.19,78.81,6567.49,14142.47,16919.43,534.55,6646.3,6916.9,375.024819326816,0.0157026960090917,0.296539036081746,0.407777423155817,3.88739875274896,1.5215857383908,0.704391850522964,0.295680435733455,0.284707462297541,0.397207207309106,3.72957688933202,1.54823495073919,0.692560276738759,0.310749419895657,0.295680435733455,0.310749419895657
"ConocoPhillips (NYSE:COP)","NYSE:COP","New York Stock Exchange (NYSE)","Energy","A-",75754.12,90750.82,39555.6,17659.6,14555.4,10486.55,3720.1,6362.2,58109.3,90613.1,14080.1,40167,5232.6,1093.5,15029.3,0,1038.6,467.4,19388.2,70529.6,90613.1,1038.6,19855.6,14532,7152.10733824499,0.0788103880300474,0.238737112075333,0.234431558273274,1.9544308138543,1.0268706746225,1.02358252418844,0.720361379349554,0.162217664843419,0.167541015539302,1.41651957557214,1.12196442283085,0.947063076956524,1.2256401821027,0.720361379349554,1.2256401821027
"CONSOL Energy Inc. (NYSE:CEIX)","NYSE:CEIX","New York Stock Exchange (NYSE)","Energy","B-",852.68,1556.04,1319.35,411.483333333333,311,210.908333333333,58.3766666666667,98.6771428571429,1816.01428571429,2687.65714285714,461.4225,650.828571428571,106.828571428571,54.0571428571429,324.828571428571,0,52.9014285714286,32.1555714285714,563.085714285714,2362.23571428571,2687.65714285714,52.8928571428571,595.225714285714,549.457142857143,92.0958413827682,0.0591860372373257,0.5451474462049,0.242585188273415,2.39706646701421,0.587152367345811,1.84511571418453,0.479967228974361,0.459948119308866,0.215002666320636,2.04394145506564,0.620573243000344,1.75988680210423,0.561353033451365,0.479967228974361,0.561353033451365
"Consolidated Edison, Inc. (NYSE:ED)","NYSE:ED","New York Stock Exchange (NYSE)","Utilities","A-",23507.48,41232.28,12593.8,6154.6,3879.7,3174.35,1275.2,842.4,37352.5,50594.5,13087.2,15394.4,1879.4,359.1,4082.5,1356.6,865.7,229.4,15278.7,42897.3,50594.5,2222.3,15508.1,16888,526.041411551093,0.0127579995952466,0.426102735706734,0.343596402846241,4.48525658984961,0.806261279898427,1.25356776070074,0.22923458114296,0.405601376282125,0.332653326581533,4.27032503203214,0.81986502274835,1.23306640127613,0.24093771115623,0.22923458114296,0.24093771115623
